author_id,birthdate,sign_date
1,3/9/1992,14/11/2006
2,6/6/2004,24/5/2008
3,6/1/1955,21/4/1973
4,22/9/1956,16/1/1972
5,30/11/1997,6/10/2002
6,26/1/1985,5/10/2004
7,25/10/1957,4/8/2006
8,16/11/1969,15/9/1996
9,1/6/1950,3/2/2014
10,12/2/1992,9/1/1999
11,26/4/1957,26/1/1962
12,2/1/1968,26/5/1974
13,5/8/1974,6/12/1983
14,4/10/1988,21/3/2015
15,5/12/1950,19/12/1955
16,17/2/1977,30/10/2007
17,30/1/1988,7/4/2009
18,26/2/1974,21/6/2007
19,17/6/1957,14/10/2007
20,1/8/1979,21/6/1992
21,25/5/1968,14/6/2013
22,23/1/1955,28/10/1976
23,6/4/1984,17/10/1992
24,18/7/1957,3/4/2002
25,27/3/2001,11/5/2010
26,22/9/1955,7/2/1988
27,1/11/1956,26/7/1993
28,19/7/2012,6/2/2017
29,29/2/1956,27/4/1961
30,10/2/1965,16/9/1966
31,9/10/1957,28/12/1992
32,17/7/1958,15/6/1959
33,4/12/1968,2/6/1983
34,22/6/1965,17/3/1977
35,1/11/1985,17/7/2017
36,25/9/1955,12/7/1956
37,9/10/1963,21/4/2018
38,27/2/1980,28/10/2008
39,10/6/1956,1/7/1956
40,23/10/1955,7/5/1984
41,6/9/1993,12/5/1998
42,9/1/1967,16/4/1969
43,1/7/1981,8/2/2005
44,27/8/1956,2/4/1960
45,15/9/1957,5/12/2006
46,16/9/1997,9/11/2011
47,9/8/1964,29/5/1987
48,22/6/1984,14/7/2016
49,21/4/1952,3/1/1967
50,24/4/1957,20/9/2005
51,26/3/2007,15/11/2019
52,10/10/1999,1/4/2008
53,21/12/1958,19/8/1980
54,5/7/1975,4/3/2003
55,29/4/1961,14/8/1988
56,27/12/1969,1/11/1971
57,2/5/1961,13/6/1992
58,23/7/1982,3/3/1991
59,3/7/1978,28/2/2014
60,24/12/2015,20/12/2019
61,29/4/2013,23/4/2020
62,1/2/1961,29/1/1985
63,23/8/1964,31/5/1979
64,30/3/1983,29/11/1986
65,1/8/1953,30/7/1985
66,29/12/1968,18/8/2008
67,28/10/1972,27/5/1978
68,8/10/1955,9/6/2018
69,12/11/1954,5/7/2010
70,22/7/1982,21/7/2018
71,10/2/1977,25/8/1979
72,31/1/1984,27/7/2002
73,26/7/1962,24/6/2003
74,6/2/1976,22/10/1983
75,17/7/1975,18/2/2009
76,16/2/1978,15/1/2000
77,31/8/1981,21/10/1998
78,11/2/1958,12/4/1982
79,17/6/1954,13/11/2018
80,5/8/2003,14/5/2017
81,15/2/2002,2/12/2006
82,1/11/1986,3/1/2009
83,22/2/2000,24/8/2013
84,5/2/1957,27/1/1965
85,31/3/1967,1/5/1988
86,31/8/1977,20/4/2008
87,29/11/1965,1/10/2002
88,27/5/1957,6/6/1966
89,3/9/1960,28/3/1992
90,29/3/1957,25/8/1975
91,22/8/1953,14/11/1973
92,14/11/1962,9/2/1979
93,25/9/1959,4/7/2017
94,12/10/1991,30/10/2012
95,27/12/1968,9/6/1975
96,22/9/1986,30/1/1990
97,27/11/1998,3/12/2014
98,29/4/1971,30/6/2008
99,28/9/1995,26/1/2019
100,6/2/1992,25/1/2013
101,5/2/1955,11/4/1993
102,9/1/1996,3/3/1998
103,1/4/1998,11/1/2007
104,16/9/1975,17/9/2011
105,30/7/1952,10/1/1979
106,25/10/1952,31/10/2019
107,17/4/1952,14/9/1972
108,3/3/1955,20/3/1983
109,11/3/1997,16/9/2012
110,7/9/1951,22/2/1958
111,17/7/1991,19/5/2007
112,27/7/1999,1/1/2001
113,21/9/1967,14/3/2013
114,17/1/1958,25/1/2020
115,27/7/1976,6/4/2009
116,2/4/1982,1/1/1987
117,19/12/2014,13/6/2017
118,3/9/1954,4/9/2019
119,7/10/1954,15/10/2004
120,10/6/1958,6/5/1964
121,29/9/1995,25/10/1999
122,31/10/1959,19/10/1997
123,22/9/1951,14/3/2009
124,30/9/1974,19/8/2002
125,23/11/1996,17/2/2011
126,19/3/1962,11/12/2014
127,15/8/1998,10/7/2005
128,7/9/1964,17/6/1969
129,17/1/1991,25/5/2019
130,1/3/1977,16/8/2012
131,28/9/1972,15/2/1988
132,4/3/1970,3/9/1986
133,10/10/1956,19/2/1982
134,30/10/1993,4/3/1994
135,9/12/1982,14/8/2013
136,5/9/1956,27/5/1987
137,4/8/1988,12/9/2014
138,17/12/1975,2/2/2015
139,29/6/1972,19/2/2010
140,5/2/1953,25/8/2004
141,2/10/1994,29/1/2011
142,17/7/2017,11/8/2019
143,1/2/2004,27/8/2008
144,6/8/1955,12/7/1975
145,31/10/1960,14/3/2014
146,14/7/1981,8/11/2015
147,2/2/1990,11/3/2011
148,15/8/1959,17/10/2000
149,21/2/1981,3/12/2008
150,28/11/1958,19/6/2009
151,22/5/1965,20/8/1986
152,5/6/1961,20/1/1977
153,9/2/1958,9/9/1961
154,25/1/1973,30/5/1976
155,9/6/1998,6/1/2011
156,5/10/1990,29/5/1994
157,3/1/1956,29/6/2004
158,14/7/1968,1/9/2001
159,24/5/1989,12/8/1995
160,7/12/1971,18/8/2009
161,26/6/1958,8/1/1970
162,13/5/2003,22/1/2008
163,12/7/1966,23/7/1980
164,6/11/1967,21/6/1985
165,21/5/1971,1/2/2016
166,2/6/2014,22/8/2020
167,2/5/1956,11/3/2004
168,1/4/1991,13/5/1998
169,21/9/1956,13/3/1993
170,25/10/2013,27/11/2014
171,3/5/2000,19/10/2012
172,11/10/2008,30/10/2016
173,1/10/1969,28/5/1970
174,25/11/1950,22/7/2000
175,13/8/1966,8/3/2020
176,13/6/1950,10/5/2016
177,26/3/1953,16/1/1969
178,19/8/1994,7/8/2017
179,26/9/1968,27/5/1977
180,8/2/1982,22/8/2010
181,24/11/1965,1/7/1989
182,28/1/1992,19/10/2014
183,21/10/1983,15/1/1988
184,8/1/1994,8/8/2007
185,24/8/1956,28/1/1979
186,5/6/1955,5/7/1966
187,10/10/2009,15/8/2015
188,11/10/1971,18/2/1979
189,7/6/1971,13/6/1998
190,22/9/1959,14/12/1988
191,17/3/1964,5/7/1990
192,23/10/1993,8/3/1997
193,11/3/1988,4/2/1993
194,20/12/1985,12/5/2007
195,11/2/1973,13/2/1980
196,2/9/1968,4/2/1969
197,8/1/1968,1/6/1973
198,3/1/1993,23/5/1993
199,31/7/1964,12/5/2000
200,3/9/1983,18/6/2019
201,1/4/1978,14/12/2009
202,13/2/1956,22/9/1970
203,20/4/1985,2/6/2000
204,8/10/2003,26/9/2020
205,24/3/1954,19/6/1988
206,7/2/1979,5/6/2014
207,21/7/1962,4/10/2002
208,26/11/1969,27/9/1970
209,16/3/1952,17/7/1975
210,27/11/1982,4/3/1983
211,27/6/1951,28/4/2013
212,2/6/1966,6/6/2004
213,19/3/1955,8/1/1979
214,26/11/1950,11/7/2009
215,3/12/1991,11/11/2010
216,19/2/1980,27/8/1980
217,23/7/1978,24/10/1994
218,9/5/1985,22/6/2017
219,10/4/1952,25/9/1976
220,10/8/1955,15/3/1983
221,16/12/1975,17/11/2012
222,27/8/1999,25/5/2011
223,25/9/1979,13/4/1990
224,26/9/1989,7/1/2018
225,31/1/1960,12/6/2009
226,14/1/1957,21/12/1969
227,27/1/1964,12/1/2012
228,2/4/1955,21/5/1988
229,2/1/1964,25/4/2012
230,26/7/1974,3/10/2020
231,7/9/1974,28/11/1982
232,8/8/1959,6/4/1976
233,7/10/1983,17/8/2012
234,10/5/1998,1/10/2005
235,8/2/2012,22/1/2017
236,19/1/1981,14/3/1981
237,31/7/1992,18/1/2008
238,18/5/1973,16/9/1974
239,4/6/1959,26/1/2020
240,2/11/1969,26/8/1978
241,19/9/1977,28/8/1985
242,14/1/1978,23/6/2001
243,9/2/2011,12/10/2017
244,29/5/2018,16/6/2019
245,1/9/1961,5/5/2006
246,14/10/1961,23/12/1994
247,11/6/1963,19/11/1986
248,15/12/1950,25/10/1995
249,1/6/1971,2/4/2016
250,29/12/1981,10/8/2009
251,24/5/1963,22/1/1973
252,19/11/1953,13/3/2009
253,11/8/1968,24/4/2013
254,18/7/1957,8/1/1981
255,8/5/1960,11/12/1982
256,6/1/1981,26/10/2002
257,12/6/1968,18/6/2015
258,8/10/1964,18/6/2000
259,1/12/1965,21/6/1995
260,23/12/1956,20/7/2006
261,26/5/1991,4/8/2000
262,2/9/1984,2/6/2005
263,16/8/1968,5/8/1994
264,10/9/1952,27/10/1987
265,15/4/1985,11/7/2015
266,13/3/1985,29/10/2002
267,16/8/1985,30/4/1987
268,12/9/1958,29/9/2010
269,31/12/1973,29/6/2003
270,26/7/1953,7/3/2014
271,2/2/1955,17/4/2017
272,25/12/1966,26/7/2012
273,11/10/1961,6/12/1995
274,30/3/1962,26/8/1984
275,8/6/1961,1/4/1985
276,20/12/1950,6/11/1971
277,16/2/1962,19/7/1963
278,27/11/1957,11/6/1982
279,11/6/1969,31/12/1984
280,3/8/1978,4/2/2001
281,21/9/1971,25/10/1998
282,7/2/1954,19/3/2000
283,12/8/1999,17/1/2002
284,27/10/1956,13/9/2010
285,6/4/1954,2/5/2007
286,28/12/1959,4/5/1972
287,19/3/1960,2/4/1995
288,20/7/1990,9/8/2017
289,26/9/1975,26/3/1999
290,17/3/1952,9/2/1972
291,23/8/1990,27/2/2000
292,16/11/2008,7/2/2012
293,6/10/1959,12/12/1984
294,31/5/1970,12/10/1972
295,30/10/1952,1/4/1974
296,9/5/1961,5/1/1964
297,5/2/1952,28/6/1982
298,18/10/1963,11/4/2006
299,3/2/1952,12/3/1956
300,21/2/1957,17/11/1987
301,17/4/1995,17/5/2015
302,17/4/1994,25/3/2018
303,9/2/1969,16/2/1981
304,3/8/1965,13/9/1980
305,23/1/1953,3/5/1992
306,20/12/1950,22/8/2006
307,3/3/1956,8/4/1966
308,1/1/1951,6/7/2007
309,6/11/1951,24/2/1981
310,2/2/1959,16/11/1969
311,26/9/1986,18/2/1999
312,8/5/1983,3/4/2007
313,15/1/1972,25/9/2001
314,26/2/1960,13/6/1971
315,2/8/1980,24/7/2005
316,29/10/1992,11/3/2017
317,18/8/1989,14/8/1998
318,24/7/1965,15/1/1990
319,20/4/1996,14/2/2015
320,15/3/1990,26/10/2002
321,16/11/1963,4/1/1986
322,1/5/1951,31/12/2002
323,11/3/1950,26/7/1968
324,31/8/2003,17/8/2011
325,10/10/1957,14/8/2008
326,2/9/1962,15/10/1967
327,18/5/1954,22/9/1990
328,11/7/1960,19/8/1990
329,12/5/1955,26/11/1976
330,15/12/2004,11/8/2016
331,4/6/1953,26/10/1990
332,1/5/1995,13/7/1997
333,19/7/2002,31/3/2011
334,14/3/1964,28/6/2003
335,1/12/1971,20/4/2017
336,23/10/1966,14/7/1970
337,31/12/2018,6/5/2019
338,14/6/1951,3/1/1993
339,18/7/1951,15/11/1975
340,19/12/2004,9/9/2015
341,27/11/1956,29/11/1998
342,19/12/1986,8/11/2019
343,16/11/1981,7/7/1986
344,30/11/1955,20/1/2007
345,18/2/1970,21/11/1975
346,3/12/1952,30/5/1961
347,28/6/1986,9/10/2014
348,11/5/1973,13/9/1991
349,13/4/1954,9/8/1987
350,28/8/1998,1/8/1999
351,10/11/1976,15/10/2016
352,4/6/2011,21/7/2011
353,7/9/1998,21/7/2007
354,2/9/1995,4/1/2003
355,23/3/1979,4/7/1979
356,12/4/1958,15/8/2013
357,12/2/1963,24/7/1964
358,7/4/1954,5/1/2010
359,24/11/1962,3/4/1992
360,25/4/1979,11/7/1985
361,6/4/1951,4/7/1983
362,4/8/1995,17/11/2009
363,2/10/1950,5/9/1961
364,23/8/1973,18/3/2003
365,6/11/1993,7/2/2008
366,29/6/1953,28/12/2011
367,29/11/1984,7/9/2015
368,16/8/1960,9/4/2008
369,25/4/1963,27/8/1983
370,24/6/1957,20/12/2001
371,27/12/1963,22/6/1994
372,4/8/1972,20/12/2020
373,6/2/1951,1/1/2014
374,6/11/1988,24/6/2006
375,23/1/1959,8/4/1972
376,1/12/1985,24/4/1986
377,16/1/1963,2/6/1966
378,30/5/1999,7/3/2014
379,13/7/1991,21/5/2017
380,9/11/1969,12/8/1975
381,18/1/1950,3/6/1991
382,3/9/1985,30/6/1997
383,25/5/1964,30/12/1969
384,2/10/1992,25/2/2015
385,12/2/1991,9/7/2011
386,1/1/2002,1/3/2018
387,19/6/1987,12/10/2004
388,30/9/1950,9/2/2015
389,3/11/1966,15/6/2012
390,23/6/1987,26/8/2013
391,3/8/1990,13/10/1998
392,12/5/1961,9/3/1967
393,15/4/1955,4/5/1968
394,31/1/1954,7/5/2016
395,15/12/1967,9/8/2015
396,5/3/1991,31/10/2020
397,21/1/1988,25/10/2012
398,5/4/1988,11/8/1990
399,7/6/1971,9/2/1985
400,6/4/1953,26/8/2004
401,12/10/1973,31/12/2001
402,6/7/1991,31/7/1995
403,9/11/1952,9/10/2014
404,12/3/1959,2/8/1994
405,11/1/1968,16/7/2010
406,18/6/1961,26/2/2000
407,9/8/1966,16/2/2000
408,12/3/2015,10/9/2017
409,28/11/2004,15/5/2009
410,9/1/1962,15/3/1990
411,7/6/1967,15/7/2015
412,25/4/1999,26/4/2008
413,16/6/1988,4/1/2002
414,27/2/1985,14/3/2009
415,12/10/1957,3/9/1991
416,13/9/1967,11/8/1987
417,13/4/1976,23/4/1976
418,6/11/1975,17/12/2015
419,5/3/1996,29/3/2016
420,16/2/1950,4/12/1962
421,19/1/1996,19/3/2015
422,4/4/1972,24/11/1974
423,9/1/1979,22/9/2014
424,16/2/1958,10/11/1975
425,22/8/1990,14/5/2008
426,18/1/2000,17/12/2016
427,21/8/1974,25/3/1990
428,3/2/1982,22/5/2004
429,1/5/1958,27/3/2004
430,26/3/2015,18/7/2018
431,16/1/1983,13/9/2012
432,30/10/2010,9/10/2015
433,4/6/1988,20/12/2012
434,18/11/2008,17/6/2011
435,13/10/2010,26/2/2016
436,23/10/1992,26/1/2004
437,13/1/1971,25/5/1979
438,28/1/1966,27/10/1976
439,15/1/1967,31/7/1983
440,7/4/1973,9/4/2003
441,3/9/1989,21/3/1994
442,25/1/1971,28/3/1992
443,23/8/1965,14/7/1976
444,2/12/1959,1/1/1984
445,19/9/1966,20/7/1994
446,30/10/1979,25/9/2013
447,24/9/1960,26/10/1992
448,11/5/1955,13/1/1982
449,19/10/1972,19/9/2013
450,17/3/1967,28/5/1974
451,5/9/1973,8/8/1979
452,29/11/1962,20/1/2018
